State,Total Population,Household Income,Per Capita Income,Retirement Income
Mississippi,2976149,74648,25301,22851
Missouri,6137428,86429,31756,24321
Montana,1068778,82611,32625,25805
Pennsylvania,12801989,95903,35804,24257
Nebraska,1934408,91117,33272,23519
Nevada,3080156,88735,33575,31499
New Hampshire,1359711,109096,41241,26376
New Jersey,8882190,125781,44888,30906
New Mexico,2096829,78764,28423,28716
New York,19453561,108795,41857,30839
North Carolina,10488084,87248,32021,25778
North Dakota,762062,98807,36611,24769
Ohio,11689100,90782,32780,25972
Oklahoma,3956971,81943,29666,23793
Oregon,4217737,95610,35531,28425
Tennessee,6829174,82968,31224,23053
Indiana,6732219,87400,30988,20521
Maine,1344212,86872,34078,24487
Rhode Island,1059361,106078,37525,27027
South Carolina,5148714,85865,31295,26536
South Dakota,884659,88715,31550,23101
Texas,28995881,93738,32267,27836
Vermont,623989,96207,35702,24962
Utah,3205958,94743,31771,27830
Virginia,8535519,110616,40635,33431
Washington,7614893,108500,41521,29541
West Virginia,1792147,73134,27446,21874
Wisconsin,5822434,94251,34568,25100
Wyoming,578759,89114,34104,28399
Georgia,10617423,92661,32657,28560
Idaho,1787065,81048,29606,24676
Hawaii,1415872,108186,36989,32108
Illinois,12671821,104679,37728,30950
Iowa,3155070,90182,33107,22198
Kansas,2913314,90162,32885,22998
Kentucky,4467673,78727,29029,24222
Louisiana,4648794,86579,28662,25947
Maryland,6045680,126286,43325,35065
Massachusetts,6892503,129856,46241,31838
Michigan,9986857,90008,32892,24609
Minnesota,5639632,106476,39025,27087
Arkansas,3017804,73796,27274,23031
California,39512223,109161,39393,34693
Connecticut,3565287,122781,45359,32403
Florida,21477737,84758,32887,29582
Colorado,5758736,107594,41053,33229
Delaware,973764,100609,36858,32289
District of Columbia,705749,184848,59808,43601
Alabama,4903185,81393,28650,25004
Alaska,731545,106046,36978,39214
Arizona,7278717,87708,32173,28743
